Dates,HBI
2018-06-20,21.43000030517578
2018-06-21,22.040000915527344
2018-06-25,21.959999084472656
2018-06-22,22.1200008392334
2018-06-26,22.299999237060547
2018-06-27,21.790000915527344
2018-06-28,22.059999465942383
2018-06-29,22.020000457763672
2018-07-02,22.049999237060547
2018-07-03,22.1200008392334
2018-07-05,22.260000228881836
2018-07-16,22.31999969482422
2018-09-18,22.459999084472656
2019-01-24,22.229999542236328
2019-09-05,21.889999389648438
2018-11-21,21.65999984741211
2020-01-13,21.68000030517578
2020-04-01,21.860000610351562
2020-06-19,22.059999465942383
2019-10-29,21.920000076293945
2020-01-16,22.200000762939453
2020-06-22,22.170000076293945
2018-10-03,22.309999465942383
2018-07-31,21.690000534057617
2019-03-12,21.770000457763672
2019-02-08,22.010000228881836
2019-01-07,21.790000915527344
2018-12-06,21.950000762939453
2019-08-19,22.260000228881836
2019-07-18,17.959999084472656
2019-05-15,18.280000686645508
2019-09-20,17.969999313354492
2019-11-01,18.1200008392334
2020-04-07,18.219999313354492
2020-06-25,18.579999923706055
2020-06-16,18.780000686645508
2019-11-04,18.6200008392334
2020-01-22,18.190000534057617
2019-11-07,18.190000534057617
2020-04-13,18.239999771118164
2019-07-01,18.260000228881836
2019-05-30,18.399999618530273
2018-08-15,18.93000030517578
2018-10-18,19.1200008392334
2019-03-27,18.399999618530273
2019-01-22,17.780000686645508
2018-12-21,17.639999389648438
2019-09-03,17.489999771118164
2018-11-19,17.510000228881836
2019-08-02,18.0
2020-01-28,17.510000228881836
2020-04-16,17.540000915527344
2019-11-13,17.610000610351562
2020-01-31,17.850000381469727
2018-12-04,17.65999984741211
2018-11-02,17.600000381469727
2019-07-16,17.770000457763672
2018-08-30,17.799999237060547
2018-10-01,17.920000076293945
2019-06-14,17.56999969482422
2019-05-13,17.690000534057617
2019-04-11,17.899999618530273
2019-02-06,18.09000015258789
2019-09-18,18.229999542236328
2020-02-03,18.6299991607666
2020-04-22,18.700000762939453
2019-11-19,18.110000610351562
2020-02-06,17.90999984741211
2019-11-22,18.100000381469727
2019-03-25,18.1299991607666
2019-02-21,18.43000030517578
2018-12-19,17.959999084472656
2018-07-12,17.809999465942383
2018-09-14,17.829999923706055
2018-08-13,17.229999542236328
2018-10-16,17.190000534057617
2019-07-31,17.40999984741211
2019-05-28,17.389999389648438
2019-04-26,16.639999389648438
2020-04-28,16.170000076293945
2019-11-25,16.360000610351562
2020-02-12,16.6299991607666
2020-05-01,17.059999465942383
2020-05-04,16.8799991607666
2019-06-12,16.549999237060547
2019-04-09,16.31999969482422
2019-03-08,16.579999923706055
2019-02-04,16.670000076293945
2018-07-27,16.600000381469727
2018-08-28,16.860000610351562
2019-01-03,16.420000076293945
2019-08-15,16.709999084472656
2018-10-31,17.59000015258789
2019-09-16,17.15999984741211
2020-02-18,16.219999313354492
2020-05-07,15.960000038146973
2018-08-17,16.540000915527344
2019-12-04,16.510000228881836
2020-02-21,16.90999984741211
2018-12-17,16.709999084472656
2019-08-30,16.559999465942383
2018-11-15,16.170000076293945
2019-07-29,15.789999961853027
2019-06-27,15.859999656677246
2019-04-24,15.670000076293945
2018-07-10,14.90999984741211
2018-09-12,14.930000305175781
2019-02-19,14.75
2019-01-18,15.720000267028809
2020-02-24,15.3100004196167
2020-05-13,15.680000305175781
2019-12-10,15.550000190734863
2020-02-27,15.829999923706055
2019-12-13,15.65999984741211
2020-05-19,15.90999984741211
2019-03-06,16.15999984741211
2018-11-30,15.449999809265137
2019-08-13,15.699999809265137
2019-07-12,15.15999984741211
2019-06-10,14.949999809265137
2019-05-09,14.880000114440918
2018-07-25,14.779999732971191
2018-09-27,13.800000190734863
2018-10-29,13.569999694824219
2019-10-16,12.970000267028809
2019-12-16,12.770000457763672
2020-03-04,12.119999885559082
2020-05-22,12.09000015258789
2019-10-01,11.890000343322754
2019-12-19,11.619999885559082
2018-09-10,12.390000343322754
2019-05-24,12.289999961853027
2018-08-09,12.1899995803833
2019-04-22,12.529999732971191
2019-03-21,12.670000076293945
2019-01-16,12.520000457763672
2019-08-28,12.899999618530273
2018-11-13,13.3100004196167
2018-10-12,13.75
2019-06-25,13.819999694824219
2020-03-10,13.619999885559082
2020-05-28,13.699999809265137
2019-10-07,13.8100004196167
2020-03-13,13.779999732971191
2019-10-10,13.8100004196167
2020-03-16,14.319999694824219
2020-06-03,14.84000015258789
2018-11-28,14.579999923706055
2018-09-25,14.800000190734863
2018-07-23,14.710000038146973
2018-08-24,15.199999809265137
2019-07-10,15.359999656677246
2019-05-07,15.229999542236328
2019-04-05,14.949999809265137
2019-03-04,14.989999771118164
2019-01-31,15.1899995803833
2019-09-12,15.369999885559082
2019-12-31,15.600000381469727
2020-03-19,15.569999694824219
2020-01-03,18.709999084472656
2020-06-09,17.84000015258789
2019-02-15,18.389999389648438
2019-01-14,18.600000381469727
2018-07-06,18.81999969482422
2018-08-07,18.709999084472656
2018-10-10,18.770000457763672
2018-12-13,18.790000915527344
2019-08-26,18.959999084472656
2019-07-25,19.139999389648438
2019-05-22,19.1299991607666
2019-03-19,19.040000915527344
2020-01-06,18.690000534057617
2020-03-25,18.780000686645508
2020-06-12,18.59000015258789
2019-10-22,18.520000457763672
2020-01-09,18.420000076293945
2020-06-15,18.520000457763672
2019-10-25,18.270000457763672
2020-03-31,18.329999923706055
2020-06-18,18.290000915527344
2019-04-03,17.889999389648438
2018-08-22,17.739999771118164
2018-10-25,17.690000534057617
2019-01-29,17.75
2018-12-28,17.6299991607666
2018-11-26,17.649999618530273
2019-08-09,17.850000381469727
2019-07-08,17.600000381469727
2019-06-06,17.780000686645508
2019-09-10,16.920000076293945
2020-01-15,16.889999389648438
2020-04-03,17.110000610351562
2019-10-31,17.170000076293945
2020-04-06,17.719999313354492
2020-06-24,17.8799991607666
2018-11-09,18.18000030517578
2019-07-23,17.90999984741211
2019-06-21,17.829999923706055
