Dates,KLAC
2018-06-20,109.31999969482422
2018-06-21,109.62000274658203
2018-06-25,105.29000091552734
2018-06-22,101.73999786376953
2018-06-26,103.76000213623047
2018-06-27,100.56999969482422
2018-06-28,99.83999633789062
2018-06-29,102.08000183105469
2018-07-02,100.36000061035156
2018-07-03,101.44999694824219
2018-07-05,101.75
2018-07-16,102.25
2018-09-18,104.27999877929688
2019-01-24,105.58000183105469
2019-09-05,103.02999877929688
2018-11-21,103.48999786376953
2020-01-13,104.13999938964844
2020-04-01,103.95999908447266
2020-06-19,103.62000274658203
2019-10-29,107.44999694824219
2020-01-16,107.06999969482422
2020-06-22,106.44999694824219
2018-10-03,104.68000030517578
2018-07-31,103.66999816894531
2019-03-12,101.41999816894531
2019-02-08,104.25
2019-01-07,105.61000061035156
2018-12-06,105.41999816894531
2019-08-19,111.5999984741211
2019-07-18,116.23999786376953
2019-05-15,114.5
2019-09-20,117.29000091552734
2019-11-01,117.86000061035156
2020-04-07,117.05999755859375
2020-06-25,115.62000274658203
2020-06-16,116.62000274658203
2019-11-04,113.20999908447266
2020-01-22,114.26000213623047
2019-11-07,115.18000030517578
2020-04-13,111.73999786376953
2019-07-01,111.80999755859375
2019-05-30,108.36000061035156
2018-08-15,110.62999725341797
2018-10-18,110.93000030517578
2019-03-27,112.20999908447266
2019-01-22,113.38999938964844
2018-12-21,114.33000183105469
2019-09-03,115.86000061035156
2018-11-19,115.94000244140625
2019-08-02,116.22000122070312
2020-01-28,116.11000061035156
2020-04-16,116.0199966430664
2019-11-13,115.44999694824219
2020-01-31,116.87000274658203
2018-12-04,106.12000274658203
2018-11-02,103.88999938964844
2019-07-16,103.5
2018-08-30,104.6500015258789
2018-10-01,100.30000305175781
2019-06-14,103.69000244140625
2019-05-13,103.8499984741211
2019-04-11,102.91999816894531
2019-02-06,102.97000122070312
2019-09-18,101.93000030517578
2020-02-03,103.05000305175781
2020-04-22,103.54000091552734
2019-11-19,103.16999816894531
2020-02-06,102.06999969482422
2019-11-22,100.47000122070312
2019-03-25,100.7699966430664
2019-02-21,99.58000183105469
2018-12-19,100.5199966430664
2018-07-12,100.62999725341797
2018-09-14,100.12999725341797
2018-08-13,98.88999938964844
2018-10-16,98.54000091552734
2019-07-31,97.33000183105469
2019-05-28,97.75
2019-04-26,93.73999786376953
2020-04-28,91.29000091552734
2019-11-25,91.6500015258789
2020-02-12,91.05999755859375
2020-05-01,90.9000015258789
2020-05-04,93.20999908447266
2019-06-12,91.08999633789062
2019-04-09,90.12000274658203
2019-03-08,89.08999633789062
2019-02-04,87.0199966430664
2018-07-27,85.88999938964844
2018-08-28,87.0
2019-01-03,86.0
2019-08-15,84.58999633789062
2018-10-31,87.0199966430664
2019-09-16,90.04000091552734
2020-02-18,91.30999755859375
2020-05-07,92.58000183105469
2018-08-17,91.26000213623047
2019-12-04,92.1500015258789
2020-02-21,93.9800033569336
2018-12-17,95.33000183105469
2019-08-30,94.41000366210938
2018-11-15,91.63999938964844
2019-07-29,92.7300033569336
2019-06-27,92.11000061035156
2019-04-24,90.76000213623047
2018-07-10,91.83000183105469
2018-09-12,92.08999633789062
2019-02-19,90.25
2019-01-18,93.80000305175781
2020-02-24,93.0
2020-05-13,94.12000274658203
2019-12-10,94.80999755859375
2020-02-27,95.68000030517578
2019-12-13,96.5999984741211
2020-05-19,96.0
2019-03-06,99.62999725341797
2018-11-30,95.7300033569336
2019-08-13,93.44999694824219
