Dates,BAC,AAPL,NFLX,AMZN,GOLD,WFC
2020-01-02,,,,,,
2020-01-03,-0.020763118161071126,-0.00972206052658986,-0.01185532182484772,-0.012139050344284086,0.004326611917516043,-0.0061396267233416735
2020-01-08,-0.0014327871093245959,0.007968248694087743,0.030469447259134697,0.014885589964526824,-0.009693016744879435,-0.005990219859853929
2020-01-06,-0.006599611932391225,-0.004703028239450124,-0.015126661630534555,0.0020915561982559616,0.004350138960018235,-0.008286253219032313
2020-01-07,0.010109733436555635,0.016086186904820554,0.025729432397959107,-0.007808656515330026,-0.0351921925460662,0.0030384478883589416
2020-01-09,0.0017156818851629119,0.02124091609120371,-0.01061134822817067,0.004799271799026172,-0.012345560668947764,-0.0017039728484438132
2020-01-10,-0.008278443513569433,0.0022606127944739818,-0.01969259309129534,-0.009410596348826017,0.014204472030263204,-0.004361872568178993
2020-01-13,0.009211291061864024,0.02136442186690135,0.029995520440425194,0.004322529419005683,-0.022408913889113813,-0.007428539958692082
2020-01-14,0.0074158298460909045,-0.013503257002582147,-0.0006786586132870864,-0.011558243989587935,0.006303608887856527,-0.053924400577249676
2020-01-15,-0.01840331925646832,-0.004285541635880685,0.00112198435168831,-0.003969061380714067,0.01936215056212709,-0.019878287211954615
2020-01-16,0.0014422923606338678,0.012526455966031635,-0.0013271955564060356,0.008549812412332658,0.010614682262388264,0.019246644195315188
2020-01-27,-0.0002881543723585178,0.011071072210619315,0.0031008750980092703,-0.007039613148238089,-0.007739017029614548,-0.0014212564501272507
2020-02-20,-0.012964558713284946,-0.006776926979600639,-0.004592775383464254,0.014629558177890134,0.022284070440104164,-0.004880054685151625
2020-02-12,0.0029189926231372176,0.003569564456164409,-0.03581670425666572,-0.002399597813160681,-0.0032697420574010483,-0.00776458486036169
2020-04-16,-0.006984900046387521,0.004815833773263334,0.07239265675925033,-0.001525862769232944,0.00765439115363864,-0.007001577949310667
2020-02-04,-0.01699869364577067,-0.002882031563698373,0.0101830592003469,-0.012172442635054903,0.015192597163993016,-0.013480015454306327
2020-05-28,-0.02057270709808534,-0.029405274478843557,-0.029108615564327645,-0.017887480160558078,-0.004810192260997548,-0.009880149672124028
2020-07-08,0.01187233806190191,0.02828937740793247,0.016448856890290076,0.013624399534750253,-0.03329757205375572,0.0057324789695518685
2020-06-19,-0.006919499714716171,0.020932318701030628,-0.015379276714461931,0.0025630648860111016,0.020555565507569762,-0.002110946603431252
2020-05-12,0.014238155784131568,-0.001449095131208722,0.013346504614142773,0.006824571426769399,0.003810528618771958,0.013539220131932872
2020-06-22,-0.01941450275133083,-0.04433867967968519,-0.007620618769495824,0.0737913021087453,0.0043384476263752525,-0.02024637609524249
2020-06-03,0.004264285367757248,-0.0027462922280088176,0.037410541595267466,-0.002250198931246672,-0.012959016779100052,0.003834679217074477
2020-05-15,0.019714818710200088,0.033013567347419004,0.030754217222416225,0.02268734248623172,-0.014223210486190907,0.002971088550944634
