Dates,GC=F
2018-06-20,34.0
2018-06-21,7.0
2018-06-25,46.0
2018-06-22,74.0
2018-06-26,37.0
2018-06-27,89.0
2018-06-28,1162.0
2018-06-29,378.0
2018-07-02,48.0
2018-07-05,36.0
2018-07-06,9.0
2018-07-16,7.0
2018-09-18,37.0
2019-01-24,65.0
2019-09-05,30.0
2018-11-21,7.0
2020-01-13,2.0
2020-04-01,2.0
2020-06-19,0.0
2019-10-29,67.0
2020-01-16,33.0
2020-06-22,0.0
2018-10-03,1.0
2018-07-31,0.0
2019-03-12,0.0
2019-02-08,1.0
2019-01-07,254428.0
2018-12-06,62239.0
2019-08-19,2722.0
2019-07-18,1026.0
2019-05-15,411.0
2019-09-20,784.0
2019-11-01,297.0
2020-01-19,715.0
2020-04-07,209.0
2020-06-25,44.0
2020-06-16,75.0
2019-11-04,78.0
2020-01-22,92.0
2020-06-28,71.0
2019-11-07,123.0
2020-04-13,66.0
2019-07-01,68.0
2019-05-30,22.0
2018-08-15,17.0
2018-10-18,95.0
2019-03-27,12.0
2019-01-22,154.0
2018-12-21,136.0
2019-09-03,817.0
2018-11-19,493.0
2019-08-02,191.0
2020-01-28,26.0
2020-04-16,21.0
2019-11-13,7.0
2020-01-31,29.0
2020-04-19,11.0
2018-12-04,21.0
2018-11-02,37.0
2019-07-16,22.0
2018-08-30,1.0
2018-10-01,0.0
2019-06-14,2.0
2019-05-13,0.0
2019-04-11,0.0
2019-02-06,0.0
2019-09-18,0.0
2020-02-03,21.0
2020-04-22,17857.0
2019-11-19,4947.0
2020-02-06,404.0
2019-11-22,180.0
2020-02-09,451.0
2019-03-25,76.0
2019-02-21,496.0
2018-12-19,34.0
2018-07-12,250.0
2018-09-14,9.0
2018-08-13,1078.0
2018-10-16,126.0
2019-07-31,122.0
2019-05-28,136.0
2019-04-26,426.0
2020-04-28,1.0
2019-11-25,165.0
2020-02-12,55.0
2020-05-01,18.0
2020-05-04,33.0
2019-06-12,36.0
2019-04-09,7.0
2019-03-08,20.0
2019-02-04,214.0
2018-07-27,72.0
2018-08-28,121.0
2019-01-03,14.0
2019-08-15,18.0
2018-10-31,15.0
2019-09-16,4.0
2020-02-18,1.0
2020-05-07,2.0
2018-08-17,14.0
2019-12-04,1.0
2020-02-21,5.0
2020-05-10,0.0
2018-12-17,0.0
2019-08-30,5.0
2018-11-15,0.0
2019-07-29,12.0
2019-06-27,1.0
2019-04-24,2.0
2018-07-10,5.0
2018-09-12,247168.0
2019-02-19,55478.0
2019-01-18,2060.0
2020-02-24,751.0
2020-05-13,125.0
2019-12-10,434.0
2020-02-27,211.0
2019-12-13,131.0
2020-05-19,117.0
2019-03-06,84.0
2018-11-30,194.0
2019-08-13,33.0
2019-07-12,10.0
2019-06-10,31.0
2019-05-09,268.0
2018-07-25,49.0
2018-09-27,27.0
2018-10-29,63.0
2019-10-16,480.0
2019-12-16,805.0
2020-03-04,19.0
2020-05-22,149.0
2019-10-01,10.0
2019-12-19,34.0
2018-09-10,2.0
2019-05-24,54.0
2018-08-09,102.0
2019-04-22,0.0
2019-03-21,11.0
2019-01-16,7.0
2019-08-28,3.0
2018-11-13,2.0
2018-10-12,10.0
2019-06-25,3.0
2020-03-10,7.0
2020-05-28,14.0
2019-10-07,1.0
2020-03-13,0.0
2020-05-31,54.0
2019-10-10,213607.0
2020-03-16,54958.0
2020-06-03,1970.0
2018-11-28,878.0
2018-09-25,675.0
2018-07-23,362.0
2018-08-24,358.0
2019-07-10,203.0
2019-05-07,122.0
2019-04-05,119.0
2019-03-04,109.0
2019-01-31,143.0
2019-09-12,858.0
2019-12-31,190.0
2020-03-19,390.0
2020-01-03,581.0
2020-03-22,414.0
2020-06-09,718.0
2019-02-15,185.0
2019-01-14,939.0
2018-08-07,604.0
2018-10-10,141.0
2018-12-13,110.0
2019-08-26,28.0
2019-07-25,114.0
2019-05-22,14.0
2019-03-19,11.0
2019-09-27,10.0
2020-01-06,9.0
2020-03-25,1.0
2020-06-12,0.0
2019-10-22,1.0
2020-01-09,26.0
2020-06-15,8.0
2019-10-25,20.0
2020-03-31,2.0
2020-06-18,0.0
2019-04-03,0.0
2018-08-22,19.0
2018-10-25,1.0
2019-01-29,206263.0
2018-12-28,87798.0
2019-09-10,1265.0
2018-11-26,675.0
2019-08-09,525.0
2019-07-08,172.0
2019-06-06,269.0
2020-01-15,181.0
2020-04-03,63.0
2020-03-29,30.0
2020-06-21,66.0
2019-10-31,420.0
2020-04-06,607.0
2020-06-24,523.0
2018-11-09,643.0
2019-07-23,308.0
2019-06-21,27.0
2019-05-20,147.0
2019-04-18,206.0
2018-09-06,518.0
2018-10-08,95.0
2019-02-13,804.0
2018-12-11,568.0
2019-09-25,114.0
2020-01-21,70.0
2020-04-09,63.0
2019-11-06,15.0
2020-01-24,12.0
2020-04-12,8.0
2020-01-27,5.0
2020-04-15,38.0
2018-12-26,6.0
2019-08-07,56.0
2019-06-04,6.0
2018-09-21,55.0
2018-07-19,3.0
2018-08-20,1.0
2018-10-23,20.0
2019-05-03,0.0
2019-04-01,0.0
2019-02-28,0.0
2019-11-12,9.0
2020-01-30,0.0
2019-11-15,189694.0
2020-02-02,55573.0
2020-04-21,2814.0
2019-04-16,812.0
2019-03-15,302.0
2019-02-11,622.0
2019-01-10,161.0
2019-08-22,240.0
2018-11-07,268.0
2018-08-03,201.0
2018-09-04,139.0
2019-06-19,157.0
2019-09-23,914.0
2019-11-18,76.0
2020-02-05,29.0
2020-04-24,129.0
2019-03-29,76.0
2019-11-21,35.0
2020-04-27,125.0
2020-02-11,105.0
2020-04-30,1333.0
2019-05-01,437.0
2019-02-26,356.0
2019-01-25,214.0
2019-09-06,46.0
2018-07-17,20.0
2018-09-19,14.0
2019-08-05,53.0
2019-10-08,50.0
2019-12-11,6.0
2020-01-12,8.0
2019-11-27,25.0
2020-02-14,13.0
2020-05-03,6.0
2020-05-06,66.0
2019-01-08,22.0
2018-12-07,1.0
2019-08-20,5.0
2018-11-05,20.0
2019-07-19,4.0
2018-10-04,5.0
2019-06-17,224267.0
2019-05-16,73874.0
2018-08-01,3294.0
2019-03-13,2431.0
2019-12-03,1873.0
2020-02-20,1008.0
2019-12-06,460.0
2020-02-23,824.0
2020-05-12,367.0
2019-12-09,74.0
2020-02-26,257.0
2020-05-15,672.0
2019-03-28,328.0
2018-09-17,87.0
2018-08-16,1815.0
2018-10-19,205.0
2019-04-29,486.0
2019-01-23,350.0
2019-09-04,686.0
2018-11-20,983.0
2019-07-02,334.0
2019-05-31,166.0
2020-05-18,2756.0
2020-03-03,704.0
2020-05-21,276.0
2019-05-14,139.0
2018-08-31,46.0
2018-07-30,125.0
2018-10-02,54.0
2019-04-12,69.0
2019-03-11,23.0
2019-02-07,8.0
2019-07-17,27.0
2019-09-19,1.0
2019-10-21,21.0
2019-12-18,3.0
2020-03-06,8.0
2020-05-24,10.0
2019-10-03,2.0
2020-03-09,5.0
2020-05-27,25.0
2020-03-12,25.0
2018-12-20,8178.0
2019-08-01,7827.0
2018-08-14,1078.0
2018-07-13,219.0
2018-10-17,205.0
2019-05-29,1213.0
2019-03-26,233.0
2019-02-22,121.0
2019-10-04,46.0
2019-11-05,120.0
2019-12-27,78.0
2020-06-02,57.0
2019-12-30,400.0
2020-03-18,367.0
2020-06-05,383.0
2019-07-15,271.0
2018-12-03,82.0
2019-06-13,72.0
2019-01-04,99.0
2018-08-29,67.0
2019-02-05,115.0
2018-11-01,93.0
2019-08-16,37.0
2019-04-10,425.0
2019-09-17,320.0
2019-10-15,210.0
2020-01-02,235.0
2020-06-08,101.0
2019-10-18,31.0
2020-01-05,567.0
2020-03-24,581.0
2020-06-11,21.0
2020-01-08,22.0
2019-04-25,6.0
2019-07-30,56.0
2019-02-20,83.0
2018-07-11,13.0
2018-09-13,141.0
2018-10-15,18.0
2019-06-28,31.0
2018-12-18,16.0
2018-11-16,19.0
2019-10-02,14.0
2020-03-27,346362.0
2020-06-14,7020.0
2020-01-10,2172.0
2019-10-24,1460.0
2020-03-30,613.0
2020-06-17,907.0
2020-01-14,899.0
2020-04-02,1461.0
2019-01-02,367.0
2019-08-14,393.0
2018-10-30,955.0
2019-06-11,468.0
2019-05-10,99.0
2019-04-08,410.0
2018-08-27,250.0
2018-07-26,319.0
2018-09-28,118.0
2019-03-07,52.0
2019-10-30,126.0
2020-01-17,839.0
2020-06-23,446.0
2020-04-08,301.0
2020-06-26,214.0
2019-03-22,1601769.0
2019-01-17,107.0
2019-08-29,416.0
2018-11-14,47.0
2019-06-26,236.0
2018-09-11,54.0
2018-07-09,207196.0
2018-08-10,16.0
2019-04-23,48.0
2019-09-30,32.0
2020-01-23,11.0
2020-06-29,98.0
2019-11-08,97444.0
2020-01-26,108.0
2020-04-14,45.0
2019-11-11,42.0
2020-01-29,15.0
2020-04-17,858573.0
2018-07-24,43.0
2018-09-26,22.0
2019-05-08,3.0
2019-03-05,251274.0
2019-02-01,62336.0
2018-12-31,372385.0
2019-09-13,1095.0
2018-11-29,1062.0
2019-08-12,978.0
2019-07-11,1305.0
2019-11-14,110.0
2020-04-20,204217.0
2020-02-04,431.0
2020-04-23,128.0
2018-12-14,440.0
2019-08-27,36.0
2018-08-08,74.0
2018-10-11,161382.0
2018-11-12,68.0
2019-07-26,310.0
2019-06-24,542.0
2019-05-23,117.0
2019-03-20,1646902.0
2019-01-15,186.0
2019-11-20,435.0
2020-02-07,409.0
2020-04-26,560547.0
2020-02-10,713044.0
2020-04-29,427903.0
2019-11-26,446398.0
2020-02-13,297251.0
2019-01-30,333945.0
2018-08-23,619051.0
2018-09-24,467110.0
2018-10-26,357858.0
2019-09-11,373462.0
2018-11-27,553457.0
2019-07-09,524471.0
2019-06-07,535860.0
2019-05-06,415321.0
2019-04-04,412332.0
2020-02-16,306016.0
2020-05-05,253577.0
2019-12-02,1415965.0
2020-02-19,170446437.0
2020-05-08,230724452.0
2019-05-21,135796364.0
2019-03-18,101608789.0
2018-09-07,50347295.0
2018-08-06,668394.0
2018-10-09,79971500.0
2019-02-14,79259106.0
2018-12-12,85905097.0
2019-07-24,81969792.0
2019-09-26,65942638.0
2019-10-28,89924751.0
2019-12-05,194263.0
2020-05-11,66999389.0
2020-02-25,90794733.0
2020-05-14,576785.0
2020-02-28,82922552.0
2020-05-17,119041708.0
2019-08-08,99885419.0
2019-06-05,99128838.0
2018-07-20,125232803.0
2018-08-21,380197.0
2018-10-24,99271986.0
2019-04-02,126145255.0
2019-03-01,187864.0
2019-01-28,100270320.0
2018-12-27,89027416.0
2019-09-09,269034.0
2020-03-02,80903668.0
2020-05-20,96211082.0
2019-12-17,156725.0
2020-03-05,228730.0
2019-02-12,164380.0
2019-01-11,474348.0
2018-12-10,146307.0
2019-08-23,90856691.0
2018-11-08,98111911.0
2019-07-22,104619464.0
2019-06-20,106158530.0
2018-09-05,350038.0
2019-04-17,99062967.0
2019-09-24,90418137.0
2019-12-20,94675242.0
2020-05-26,105081916.0
2019-04-30,100958337.0
2019-12-23,714482.0
2020-03-11,142944830.0
2020-05-29,98019332.0
2019-12-26,90999071.0
2020-06-01,117665805.0
2019-05-02,101050564.0
2019-02-27,93921.0
2019-08-06,300259.0
2018-07-18,156746.0
2018-09-20,159174.0
2018-10-22,147014.0
2019-07-05,444305.0
2019-06-03,142807.0
2019-10-09,172030.0
2019-12-12,249036.0
2019-10-11,193873.0
2020-03-17,267086.0
2020-06-04,342242.0
2019-10-14,151461.0
2020-03-20,178128.0
2020-06-07,195593.0
2018-11-06,202214.0
2019-06-18,148176.0
2019-05-17,287169.0
2019-04-15,195205.0
2019-03-14,177702.0
2019-01-09,137879.0
2018-08-02,152628.0
2018-10-05,174981.0
2019-08-21,734410.0
2019-10-17,219460.0
2020-03-23,190018.0
2020-06-10,230610.0
2019-02-25,148788.0
2020-01-07,195963.0
2020-03-26,500645.0
2019-10-23,128441.0
